,f,c
2017-01-02T22:05:00Z,46.53,8.072222222
2017-01-02T22:10:00Z,46.38,7.988888889
2017-01-02T22:15:00Z,46.44,8.022222222
2017-01-02T22:20:00Z,46.4,8
2017-01-02T22:25:00Z,46.33,7.961111111
2017-01-02T22:30:00Z,46.33,7.961111111
2017-01-02T22:35:00Z,46.29,7.938888889
2017-01-02T22:40:00Z,46.18,7.877777778
2017-01-02T22:45:00Z,46.09,7.827777778
2017-01-02T22:50:00Z,46.06,7.811111111
2017-01-02T22:55:00Z,46.06,7.811111111
2017-01-02T23:00:00Z,46.08,7.822222222
2017-01-02T23:05:00Z,45.91,7.727777778
2017-01-02T23:10:00Z,45.75,7.638888889
2017-01-02T23:15:00Z,45.73,7.627777778
2017-01-02T23:20:00Z,45.77,7.65
2017-01-02T23:25:00Z,45.5,7.5
2017-01-02T23:30:00Z,45.43,7.461111111
2017-01-02T23:35:00Z,45.25,7.361111111
2017-01-02T23:40:00Z,45.21,7.338888889
2017-01-02T23:45:00Z,45.21,7.338888889
2017-01-02T23:50:00Z,45,7.222222222
2017-01-02T23:55:00Z,44.87,7.15
2017-01-03T00:00:00Z,44.87,7.15
2017-01-03T00:05:00Z,44.64,7.022222222
2017-01-03T00:10:00Z,44.62,7.011111111
2017-01-03T00:15:00Z,44.4,6.888888889
2017-01-03T00:20:00Z,44.31,6.838888889
2017-01-03T00:25:00Z,44.28,6.822222222
2017-01-03T00:30:00Z,44.15,6.75
2017-01-03T00:35:00Z,43.97,6.65
2017-01-03T00:40:00Z,43.99,6.661111111
2017-01-03T00:45:00Z,44.1,6.722222222
2017-01-03T00:50:00Z,44.06,6.7
2017-01-03T00:55:00Z,44.13,6.738888889
2017-01-03T01:00:00Z,44.01,6.672222222
2017-01-03T01:05:00Z,43.86,6.588888889
2017-01-03T01:10:00Z,43.92,6.622222222
2017-01-03T01:15:00Z,43.84,6.577777778
2017-01-03T01:20:00Z,43.81,6.561111111
2017-01-03T01:25:00Z,43.81,6.561111111
2017-01-03T01:30:00Z,43.86,6.588888889
2017-01-03T01:35:00Z,43.72,6.511111111
2017-01-03T01:40:00Z,43.66,6.477777778
2017-01-03T01:45:00Z,43.66,6.477777778
2017-01-03T01:50:00Z,43.7,6.5
2017-01-03T01:55:00Z,43.63,6.461111111
2017-01-03T02:00:00Z,43.57,6.427777778
2017-01-03T02:05:00Z,43.54,6.411111111
2017-01-03T02:10:00Z,43.54,6.411111111
2017-01-03T02:15:00Z,43.54,6.411111111
2017-01-03T02:20:00Z,43.43,6.35
2017-01-03T02:25:00Z,43.52,6.4
2017-01-03T02:30:00Z,43.34,6.3
2017-01-03T02:35:00Z,43.27,6.261111111
2017-01-03T02:40:00Z,43.18,6.211111111
2017-01-03T02:45:00Z,43.09,6.161111111
2017-01-03T02:50:00Z,42.98,6.1
2017-01-03T02:55:00Z,42.98,6.1
2017-01-03T03:00:00Z,42.93,6.072222222
2017-01-03T03:05:00Z,42.85,6.027777778
2017-01-03T03:10:00Z,42.73,5.961111111
2017-01-03T03:15:00Z,42.58,5.877777778
2017-01-03T03:20:00Z,42.49,5.827777778
2017-01-03T03:25:00Z,42.33,5.738888889
2017-01-03T03:30:00Z,42.31,5.727777778
2017-01-03T03:35:00Z,42.19,5.661111111
2017-01-03T03:40:00Z,42.13,5.627777778
2017-01-03T03:45:00Z,42.03,5.572222222
