,c
01/17/17 10:00 AM,32.38324474
01/17/17 11:00 AM,30.7473766533
01/17/17 12:00 PM,26.3523195792
01/17/17 01:00 PM,25.34704288
01/17/17 02:00 PM,24.9312433475
01/17/17 03:00 PM,24.3797873983
01/17/17 04:00 PM,23.85709189
01/17/17 05:00 PM,23.5584699075
01/17/17 06:00 PM,23.4269976858
01/17/17 07:00 PM,23.2400926492
01/17/17 08:00 PM,23.089878005
01/17/17 09:00 PM,22.9592627683
01/17/17 10:00 PM,22.8809944675
01/17/17 11:00 PM,26.8830020792
01/18/17 12:00 AM,30.815229945
01/18/17 01:00 AM,30.9092740458
01/18/17 02:00 AM,30.9378521308
01/18/17 03:00 AM,31.0932127358
01/18/17 04:00 AM,31.10902132
01/18/17 05:00 AM,31.5160465142
01/18/17 06:00 AM,31.783315305
01/18/17 07:00 AM,32.2820615008
01/18/17 08:00 AM,56.2326896292
01/18/17 09:00 AM,38.26173487
01/18/17 10:00 AM,35.2190242958
01/18/17 11:00 AM,35.0956742217
01/18/17 12:00 PM,35.0134317
01/18/17 01:00 PM,35.8594107583
01/18/17 02:00 PM,36.3361175917
01/18/17 03:00 PM,36.6828379258
01/18/17 04:00 PM,36.7902371075
01/18/17 05:00 PM,36.4024785825
01/18/17 06:00 PM,36.9504786667
01/18/17 07:00 PM,37.1770842408
01/18/17 08:00 PM,46.5608883342
01/18/17 09:00 PM,36.6650648517
01/18/17 10:00 PM,30.0286006575
01/18/17 11:00 PM,31.775642135
01/19/17 12:00 AM,32.7863824117
01/19/17 01:00 AM,33.556667635
01/19/17 02:00 AM,33.9596278933
01/19/17 03:00 AM,34.1219502092
01/19/17 04:00 AM,34.4505761533
01/19/17 05:00 AM,34.8539398942
01/19/17 06:00 AM,35.0016889483
01/19/17 07:00 AM,35.2966210475
01/19/17 08:00 AM,57.7708709267
01/19/17 09:00 AM,50.5065939342
01/19/17 10:00 AM,36.7865935267
01/19/17 11:00 AM,36.9669513467
01/19/17 12:00 PM,35.7747194442
01/19/17 01:00 PM,34.8252902217
01/19/17 02:00 PM,34.2617168608
01/19/17 03:00 PM,32.4440405692
01/19/17 04:00 PM,27.2122796308
01/19/17 05:00 PM,32.2788733975
01/19/17 06:00 PM,33.5733934358
01/19/17 07:00 PM,35.8616588975
01/19/17 08:00 PM,37.5065423767
01/19/17 09:00 PM,31.7231502825
01/19/17 10:00 PM,32.6119423108
01/19/17 11:00 PM,33.5389574442
01/20/17 12:00 AM,34.35996519
01/20/17 01:00 AM,34.9846303425
01/20/17 02:00 AM,35.403742995
01/20/17 03:00 AM,35.4434961108
01/20/17 04:00 AM,35.7369030292
01/20/17 05:00 AM,35.9459278142
01/20/17 06:00 AM,36.0389123292
01/20/17 07:00 AM,36.2648907075
01/20/17 08:00 AM,57.6695452758
01/20/17 09:00 AM,57.1323934725
01/20/17 10:00 AM,36.8741000292
01/20/17 11:00 AM,35.2114745192
01/20/17 12:00 PM,34.1216453742
01/20/17 01:00 PM,33.1387214725
01/20/17 02:00 PM,32.047344195
01/20/17 03:00 PM,29.6875464675
01/20/17 04:00 PM,25.4126502175
01/20/17 05:00 PM,24.244077315
01/20/17 06:00 PM,24.0477483425
01/20/17 07:00 PM,23.8604791792
01/20/17 08:00 PM,23.5069349592
01/20/17 09:00 PM,23.3308867875
01/20/17 10:00 PM,27.1168435183
01/20/17 11:00 PM,30.7128179808
01/21/17 12:00 AM,30.6040120375
01/21/17 01:00 AM,30.4212944533
01/21/17 02:00 AM,31.0224766158
01/21/17 03:00 AM,31.4072962675
01/21/17 04:00 AM,31.6822083925
01/21/17 05:00 AM,32.0660006433
01/21/17 06:00 AM,32.2306068758
01/21/17 07:00 AM,32.2141249058
01/21/17 08:00 AM,32.2718844492
01/21/17 09:00 AM,50.5394260642
01/21/17 10:00 AM,33.6882686758
01/21/17 11:00 AM,27.60044421
01/21/17 12:00 PM,26.5533937642
01/21/17 01:00 PM,26.1270445
01/21/17 02:00 PM,25.7728013883
01/21/17 03:00 PM,25.4583213283
01/21/17 04:00 PM,24.7800448342
01/21/17 05:00 PM,24.1670803933
01/21/17 06:00 PM,23.9853330567
01/21/17 07:00 PM,23.9753293692
01/21/17 08:00 PM,23.987958695
01/21/17 09:00 PM,23.9665960517
01/21/17 10:00 PM,23.9093425925
01/21/17 11:00 PM,23.8204953517
01/22/17 12:00 AM,23.7181981158
01/22/17 01:00 AM,27.030751005
01/22/17 02:00 AM,27.3035286808
01/22/17 03:00 AM,27.645369145
01/22/17 04:00 AM,28.0852964917
01/22/17 05:00 AM,28.277799805
01/22/17 06:00 AM,28.4160163833
01/22/17 07:00 AM,28.7686770925
01/22/17 08:00 AM,29.140883795
01/22/17 09:00 AM,32.7760650575
01/22/17 10:00 AM,31.4411965983
01/22/17 11:00 AM,28.9565085692
01/22/17 12:00 PM,25.0996537533
01/22/17 01:00 PM,24.2087583333
01/22/17 02:00 PM,24.1055201292
01/22/17 03:00 PM,23.9946326442
01/22/17 04:00 PM,23.725843575
01/22/17 05:00 PM,23.5295314808
01/22/17 06:00 PM,23.6073803658
01/22/17 07:00 PM,23.7609627217
01/22/17 08:00 PM,23.71851431
01/22/17 09:00 PM,23.6067014167
01/22/17 10:00 PM,23.4963242733
01/22/17 11:00 PM,23.3429604108
01/23/17 12:00 AM,23.1696596808
01/23/17 01:00 AM,29.8902345083
01/23/17 02:00 AM,30.212208075
01/23/17 03:00 AM,29.6933581475
01/23/17 04:00 AM,29.77655794
01/23/17 05:00 AM,29.7443486958
01/23/17 06:00 AM,29.9656558375
01/23/17 07:00 AM,29.9272757175
01/23/17 08:00 AM,34.2718847233
01/23/17 09:00 AM,36.9750319392
01/23/17 10:00 AM,37.6190718
01/23/17 11:00 AM,33.8620939817
01/23/17 12:00 PM,34.576240455
01/23/17 01:00 PM,43.2047115608
01/23/17 02:00 PM,39.1580684675
01/23/17 03:00 PM,38.9975887033
01/23/17 04:00 PM,41.3030077325
01/23/17 05:00 PM,45.185938615
01/23/17 06:00 PM,47.7248012033
01/23/17 07:00 PM,44.7350377767
01/23/17 08:00 PM,47.9155138875
01/23/17 09:00 PM,31.94489981
01/23/17 10:00 PM,32.6953935567
01/23/17 11:00 PM,34.3187280092
01/24/17 12:00 AM,35.2246340083
01/24/17 01:00 AM,35.63705088
01/24/17 02:00 AM,36.0799428058
01/24/17 03:00 AM,35.9338161567
01/24/17 04:00 AM,36.4394455792
01/24/17 05:00 AM,36.3342309308
01/24/17 06:00 AM,36.15109489
01/24/17 07:00 AM,36.6590625367
01/24/17 08:00 AM,58.9314964342
01/24/17 09:00 AM,59.8392173608
01/24/17 10:00 AM,39.8520007775
01/24/17 11:00 AM,38.2788872208
01/24/17 12:00 PM,37.3263237317
01/24/17 01:00 PM,36.6235765367
01/24/17 02:00 PM,36.9686899775
01/24/17 03:00 PM,37.4030685283
01/24/17 04:00 PM,36.8795523625
01/24/17 05:00 PM,36.5987902908
01/24/17 06:00 PM,38.35678056
01/24/17 07:00 PM,46.0749254983
01/24/17 08:00 PM,39.5841392392
01/24/17 09:00 PM,34.8029153708
01/24/17 10:00 PM,32.1794961017
01/24/17 11:00 PM,33.1729454808
01/25/17 12:00 AM,33.7084409458
01/25/17 01:00 AM,34.2113160558
01/25/17 02:00 AM,34.5929921375
01/25/17 03:00 AM,34.6712817767
01/25/17 04:00 AM,34.8878196392
01/25/17 05:00 AM,35.3163018933
01/25/17 06:00 AM,35.5409574208
01/25/17 07:00 AM,35.6323842367
01/25/17 08:00 AM,58.5900362942
01/25/17 09:00 AM,53.3063039333
01/25/17 10:00 AM,36.3009707417
01/25/17 11:00 AM,35.1622290042
01/25/17 12:00 PM,30.5670722175
01/25/17 01:00 PM,25.5538444033
01/25/17 02:00 PM,23.8155178242
01/25/17 03:00 PM,23.15613287
01/25/17 04:00 PM,25.8586231658
01/25/17 05:00 PM,30.8117638933
01/25/17 06:00 PM,31.8851990925
01/25/17 07:00 PM,33.0904368533
01/25/17 08:00 PM,32.8487557767
01/25/17 09:00 PM,29.1005414308
01/25/17 10:00 PM,29.6905500142
01/25/17 11:00 PM,30.4204767733
01/26/17 12:00 AM,30.5825929258
01/26/17 01:00 AM,31.012730185
01/26/17 02:00 AM,31.3826321492
01/26/17 03:00 AM,31.6438816708
01/26/17 04:00 AM,32.1294423675
01/26/17 05:00 AM,32.82215319
01/26/17 06:00 AM,33.5875633892
01/26/17 07:00 AM,34.1987951292
01/26/17 08:00 AM,58.46859324
01/26/17 09:00 AM,52.4786865733
01/26/17 10:00 AM,37.99111843
01/26/17 11:00 AM,38.5580626392
01/26/17 12:00 PM,37.94400569
01/26/17 01:00 PM,38.8217080092
01/26/17 02:00 PM,39.1200816667
01/26/17 03:00 PM,49.7789702317
01/26/17 04:00 PM,37.60389831
01/26/17 05:00 PM,38.3796846342
01/26/17 06:00 PM,39.0636458808
01/26/17 07:00 PM,44.4902085642
01/26/17 08:00 PM,47.4681719917
01/26/17 09:00 PM,31.4585662442
01/26/17 10:00 PM,33.192555315
01/26/17 11:00 PM,34.7358930092
01/27/17 12:00 AM,35.9357767967
01/27/17 01:00 AM,37.2373787992
01/27/17 02:00 AM,37.7060686758
01/27/17 03:00 AM,37.9242809208
01/27/17 04:00 AM,38.3483233058
01/27/17 05:00 AM,38.9076084267
01/27/17 06:00 AM,39.35569088
01/27/17 07:00 AM,39.6648696767
01/27/17 08:00 AM,61.8119955092
01/27/17 09:00 AM,64.9789124542
01/27/17 10:00 AM,51.9352767142
01/27/17 11:00 AM,41.74057426
01/27/17 12:00 PM,53.4837005067
01/27/17 01:00 PM,40.3369469458
01/27/17 02:00 PM,41.2112169442
01/27/17 03:00 PM,50.1556937967
01/27/17 04:00 PM,43.8528576383
01/27/17 05:00 PM,51.1082642133
01/27/17 06:00 PM,52.5976045825
01/27/17 07:00 PM,46.37327875
01/27/17 08:00 PM,51.5198297692
01/27/17 09:00 PM,32.71643467
01/27/17 10:00 PM,34.3394234267
01/27/17 11:00 PM,36.428067995
01/28/17 12:00 AM,37.9910975375
01/28/17 01:00 AM,38.8602321292
01/28/17 02:00 AM,39.7440789342
01/28/17 03:00 AM,40.2125454642
01/28/17 04:00 AM,40.3296752783
01/28/17 05:00 AM,40.723791805
01/28/17 06:00 AM,40.94830338
01/28/17 07:00 AM,41.1902369442
01/28/17 08:00 AM,41.2779495375
01/28/17 09:00 AM,62.3461537483
01/28/17 10:00 AM,66.2792863425
01/28/17 11:00 AM,62.2950740275
01/28/17 12:00 PM,43.2512382408
01/28/17 01:00 PM,42.6696688417
01/28/17 02:00 PM,42.6129457408
01/28/17 03:00 PM,50.517471575
01/28/17 04:00 PM,49.6184884258
01/28/17 05:00 PM,42.6459967125
01/28/17 06:00 PM,53.5571726383
01/28/17 07:00 PM,49.6947242142
01/28/17 08:00 PM,39.6865911383
01/28/17 09:00 PM,31.6623040225
01/28/17 10:00 PM,34.0759530417
01/28/17 11:00 PM,35.4981552642
01/29/17 12:00 AM,36.6680439367
01/29/17 01:00 AM,37.8754881725
01/29/17 02:00 AM,38.8762792142
01/29/17 03:00 AM,39.5918027783
01/29/17 04:00 AM,39.8780757408
01/29/17 05:00 AM,39.9821788425
01/29/17 06:00 AM,40.2353423608
01/29/17 07:00 AM,40.4140983342
01/29/17 08:00 AM,40.6203812492
01/29/17 09:00 AM,62.7361891658
01/29/17 10:00 AM,65.9799243517
01/29/17 11:00 AM,49.61093125
01/29/17 12:00 PM,41.6532898608
01/29/17 01:00 PM,39.293404165
01/29/17 02:00 PM,40.9778417142
01/29/17 03:00 PM,40.9830862508
01/29/17 04:00 PM,41.73396574
01/29/17 05:00 PM,46.3267014817
01/29/17 06:00 PM,53.5932469908
01/29/17 07:00 PM,43.1228678717
01/29/17 08:00 PM,32.68285436
01/29/17 09:00 PM,34.1053818625
01/29/17 10:00 PM,35.9573203708
01/29/17 11:00 PM,37.3717030367
01/30/17 12:00 AM,38.3397083792
01/30/17 01:00 AM,38.890432175
01/30/17 02:00 AM,39.40735588
01/30/17 03:00 AM,40.2407227783
01/30/17 04:00 AM,40.3580854633
01/30/17 05:00 AM,41.1167669442
01/30/17 06:00 AM,41.6095305558
01/30/17 07:00 AM,42.0624831958
01/30/17 08:00 AM,62.4999099533
01/30/17 09:00 AM,65.8633718058
