# # iwNorthAvgTemp,heatEnergy,diffuse solar w/m2,direct solar w/m2,OAH %,OAT C,Mull SWT C,Heat Mode,mullInsulationThickness,mullMetalConductivity,intMass,mullSurfaceArea,elecEquipDensityLow,elecEquipDensityHigh,infilRate
2.147934853211920014e+01,1.071362848136250001e+01,1.269127533000000057e+02,3.863302934000000164e+02,5.895000000000000284e+01,1.385787037000000055e+01,2.263579768500000000e+01,1.000000000000000000e+00,5.842394335587883930e-02,3.412453277404726464e+02,9.691274449393844179e+02,1.284763000811640632e+00,2.052808665341032679e+01,3.172686587101290456e+01,3.018942157076421468e-02
2.177473938587209901e+01,9.834726988756459676e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.151666667000000643e+01,3.635185185000000097e+00,3.445057615329999834e+01,1.000000000000000000e+00,1.811982990162885609e-01,3.894454776035732380e+02,2.103501413865719769e+02,1.605012040744469015e+00,1.151071931390973191e+01,3.291081012067871114e+01,1.564802432495894513e-01
1.957108303453469844e+01,4.844603405625149684e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.881666667000000359e+01,2.930555559999999948e-01,3.770606867579999744e+01,1.000000000000000000e+00,3.795986956723687578e-02,1.316215527429656902e+02,2.167261993089872192e+02,1.167630429940765602e+00,2.470100690304847646e+01,2.210637250940503407e+01,1.977533558379734879e-01
1.795824997666030143e+01,1.585908526524210060e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.279999999999999716e+01,1.034722222000000080e+01,4.029869295830000198e+01,1.000000000000000000e+00,3.084478807680403611e-01,3.614950838549005425e+02,7.524025532171453960e+02,1.452743796115865793e+00,1.748619323200721709e+01,2.589006249356746281e+01,1.216349911839320203e-01
2.368597330175450111e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.576666667000000643e+01,1.315138888999999978e+01,2.374135607750000077e+01,0.000000000000000000e+00,4.921196963250554779e-01,9.117483126991410813e+01,4.915734943242795225e+02,1.282096018753124733e+00,1.816129201167400709e+01,2.154249380335307862e+01,9.019781222861962544e-02
2.149565582052699853e+01,1.435658902429850059e+01,9.535974186999999347e+01,2.786481059999999843e+00,8.257500000000000284e+01,5.970370370000000371e+00,2.058782379169999999e+01,1.000000000000000000e+00,2.886852428370788315e-02,9.521829339114513857e+01,6.922034909551800865e+02,1.506496693459987934e+00,6.890697420174559440e+00,2.016127840967916640e+01,1.741059069102841583e-01
1.512030439119000036e+01,6.480845933927110281e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.588333332999999925e+01,-1.945370370000000015e+00,4.215786439749999914e+01,1.000000000000000000e+00,2.347497512065724046e-01,2.706222900567868237e+02,4.273478411779253747e+02,1.207360655403787675e+00,2.039948457814767124e+01,2.552760705561976806e+01,4.464810022595430000e-02
2.042834798169279864e+01,9.754335892018159981e+00,9.780337982000000707e+00,1.049097677999999867e+00,9.641666666999999791e+01,4.805092593000000356e+00,5.713239347249999867e+01,1.000000000000000000e+00,4.194866880981273360e-01,3.024171758194152062e+02,9.609199698432420291e+02,1.200557037637287827e+00,2.181434845658611721e+01,3.639838012722334781e+01,2.954921384138405882e-01
2.280998706175390112e+01,9.017168087165490675e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.921666666999999507e+01,3.586574073999999612e+00,3.750654237670000413e+01,1.000000000000000000e+00,1.473107272688006786e-01,3.648367155421855159e+02,8.201424913543775119e+02,1.614388907701698628e+00,1.020988877578571241e+01,2.935499769048449537e+01,5.432854908984987435e-02
1.907680368915099933e+01,8.619926557197999273e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.700000000000000000e+01,2.629629629999999940e-01,3.781138929669999982e+01,1.000000000000000000e+00,3.242013412588148902e-01,2.825887928736575532e+02,6.632655212579222734e+02,1.413794559776325066e+00,1.529577562771279986e+01,3.807244957780406480e+01,1.610151258511911820e-01
2.765180686841020119e+01,0.000000000000000000e+00,3.368918172000000055e+01,1.592915171000000019e+00,9.691666666999999791e+01,1.379074074000000039e+01,2.406893050749999929e+01,0.000000000000000000e+00,6.994674885831603239e-02,1.199366287913368296e+02,9.826126320599670407e+02,1.690720814494953927e+00,2.175876808346993840e+01,3.303645925725328425e+01,6.718282917193410531e-02
2.238809132857399931e+01,1.279267082679979950e+01,1.012684196000000014e+02,8.541343757000000778e+02,5.002499999999999858e+01,3.574074073999999879e+00,2.357970416170000050e+01,1.000000000000000000e+00,4.950991424413263287e-02,3.909898961418747376e+02,3.210595679138015726e+02,1.418409896187305286e+00,9.249658201526367307e+00,3.248826376540256433e+01,1.857512994474884160e-01
2.167416110784940031e+01,8.605966872811750434e+00,2.136436384999999802e+02,1.008804810999999972e+02,4.548333333000000067e+01,5.292592593000000178e+00,2.537073869920000035e+01,1.000000000000000000e+00,4.921196963250554779e-01,9.117483126991410813e+01,4.915734943242795225e+02,1.282096018753124733e+00,1.816129201167400709e+01,2.154249380335307862e+01,9.019781222861962544e-02
2.694390424859970068e+01,0.000000000000000000e+00,1.461349938000000179e+02,1.021248864000000083e+02,6.621666666999999507e+01,2.049351851999999852e+01,1.762136051419999916e+01,0.000000000000000000e+00,2.279304494528964220e-01,2.240483801001251152e+02,7.790253919982629895e+02,1.556355358795400878e+00,1.854798146572444040e+01,4.512422417886581627e+01,2.864969714775964515e-01
1.617164083572849975e+01,1.708449467725860060e+01,3.054817539000000082e+01,1.777732379000000051e+01,7.321666666999999507e+01,-1.147916666999999968e+01,6.393290736250000350e+01,1.000000000000000000e+00,1.910420521106255265e-01,3.629414288798046186e+02,4.954991395854142411e+02,1.359914375027431177e+00,1.440410528916921784e+01,3.060780943601096737e+01,1.284390751999880953e-01
2.548602699290029960e+01,6.511762030302359783e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.539999999999999858e+01,9.012962962999999661e+00,1.955999790579999953e+01,1.000000000000000000e+00,4.694870564761985943e-01,2.077226752531734064e+02,6.280860601686696327e+02,1.607675453364582063e+00,1.907611726685518150e+01,3.464717168525412205e+01,2.171773885069685217e-01
