Date/Time,EMS:IW North Zone Average Temperature [C](TimeStep),EMS:IW North Zone Average Temperature [C](Hourly),EMS:IW Calculated Heating Demand [KW](TimeStep),EMS:IW Calculated Heating Energy [KWH](Hourly),TEMPHWLOOP SUPPLY SIDE OUTLET:System Node Temperature [C](TimeStep),TEMPHWLOOP DEMAND SIDE INLET BRANCH PIPE OUTLET:System Node Temperature [C](TimeStep) 
 01/01  11:50:00,21.2101552385,,7.4521963575,,32.7401352593,33.1929029498
 01/01  11:55:00,21.1901019521,,7.316525496,,32.2801970572,32.7198500387
 01/01  12:00:00,21.1746163657,21.3121865998,8.0046229641,8.801054103,32.8067695,32.6337574852
 01/01  12:05:00,21.1571811551,,8.7609691903,,33.15411883,32.8810063311
 01/01  12:10:00,21.1417145643,,9.3301946202,,33.51909211,33.2006934622
 01/01  12:15:00,21.1241068744,,9.1565080081,,32.89199444,33.1679909947
 01/01  12:20:00,21.1098434657,,7.8840650794,,31.9053127849,32.608828257
 01/01  12:25:00,21.1009994221,,7.1614833617,,31.5561767617,32.0142509239
 01/01  12:30:00,21.096129224,,6.9116912246,,31.1316595243,31.5512210194
 01/01  12:35:00,21.0972094712,,6.6354217348,,30.7133812179,31.1158926929
 01/01  12:40:00,21.1010232405,,6.3480734872,,30.3130787664,30.6986388572
 01/01  12:45:00,21.1079349037,,6.0847427295,,29.9299171437,30.2990660591
 01/01  12:50:00,21.1141534968,,5.8631305486,,29.5609826756,29.9157027601
 01/01  12:55:00,21.1175256501,,5.4558212211,,29.2157508325,29.5510596269
 01/01  13:00:00,21.124580852,21.1160335267,5.3029955189,7.0745913937,28.8850769112,29.2047144087
 01/01  13:05:00,21.118003375,,5.1809723791,,28.5593805628,28.8705182723
 01/01  13:10:00,21.1166721856,,4.8074078327,,28.2545103594,28.5498939053
 01/01  13:15:00,21.1091905195,,4.7622418512,,27.9587604835,28.2429457121
 01/01  13:20:00,21.0983110744,,4.7118545234,,27.6621305617,27.9429513636
 01/01  13:25:00,21.0863294094,,10.704480856,,35.28477222,30.6942394479
 01/01  13:30:00,21.0952077827,,10.4356755112,,29.3060938366,31.4007796463
 01/01  13:35:00,21.1168963629,,9.9928619601,,34.43931667,32.0045316162
 01/01  13:40:00,21.1379591023,,11.4245513945,,33.77865,33.3469242539
 01/01  13:45:00,21.1681507291,,9.0232569425,,31.5444231774,32.7715191223
 01/01  13:50:00,21.1955374442,,8.7871148544,,32.96827778,32.5144515754
 01/01  13:55:00,21.217914935,,8.2298407357,,31.4085604375,32.2125473382
 01/01  14:00:00,21.2433953477,21.1419640223,7.1145420216,7.9312334052,31.0965508023,31.5667467953
 01/01  14:05:00,21.2693092077,,6.7753902283,,30.6869141538,31.1014492786
 01/01  14:10:00,21.2959760319,,6.4722813534,,30.2802578214,30.6738640337
 01/01  14:15:00,21.3164162778,,6.2056964262,,29.8896403572,30.2661565227
 01/01  14:20:00,21.3281077567,,5.9754951346,,29.5135173476,29.8752067935
 01/01  14:25:00,21.3358309857,,5.7230034718,,29.1527825832,29.4998741337
 01/01  14:30:00,21.3498886564,,5.4792605749,,28.8079185742,29.140193657
 01/01  14:35:00,21.356659212,,5.2568901012,,28.477333057,28.7956973335
 01/01  14:40:00,21.3634009855,,4.7796745131,,28.1744615789,28.4710237591
 01/01  14:45:00,21.3657376187,,4.6436221258,,27.8867056386,28.1662939654
 01/01  14:50:00,21.3651075015,,4.4799130691,,27.6049226883,27.8749376459
 01/01  14:55:00,21.3705447163,,8.4937367865,,32.83510556,29.7119201716
 01/01  15:00:00,21.3801958483,21.3414312332,10.1000809347,6.1987537266,31.81881372,31.368830599
 01/01  15:05:00,21.3988056817,,9.1740239072,,31.92800556,31.706004926
 01/01  15:10:00,21.425769144,,7.9531903227,,30.86771111,31.4432369697
 01/01  15:15:00,21.4529282413,,7.4165703865,,31.24171667,31.209826577
 01/01  15:20:00,21.4785281245,,7.6166132302,,31.35853661,31.2757340932
 01/01  15:25:00,21.4987059493,,7.6659528635,,31.31854161,31.314635969
 01/01  15:30:00,21.5217153013,,7.4526359752,,31.06270261,31.2186625682
 01/01  15:35:00,21.5425914814,,7.1572806464,,30.84337444,31.0319038531
 01/01  15:40:00,21.5649698542,,7.3936720341,,31.42408583,31.1319151608
