Date/Time,EMS:IW North Zone Average Temperature [C](TimeStep),CMU DISTRICTHEATING:District Heating Hot Water Energy [J](Hourly) 
 01/16  13:00:00,23.2722521971122,0.0 
 01/16  14:00:00,23.427473344048,0.0 
 01/16  15:00:00,23.533484018442,0.0 
 01/16  16:00:00,23.7651358757555,0.0 
 01/16  17:00:00,23.8747734989309,0.0 
 01/16  18:00:00,23.8582027404415,0.0 
 01/16  19:00:00,23.7323215025256,0.0 
 01/16  20:00:00,23.3773976120877,0.0 
 01/16  21:00:00,23.0166357847292,0.0 
 01/16  22:00:00,22.7236698055805,0.0 
 01/16  23:00:00,22.4544083731113,0.0 
 01/16  24:00:00,22.2043405751805,0.0 
 01/17  01:00:00,21.9820336747195,0.0 
 01/17  02:00:00,21.8245273155674,0.0 
 01/17  03:00:00,21.7055817163378,0.0 
 01/17  04:00:00,21.5882842947603,0.0 
 01/17  05:00:00,21.4705296219875,0.0 
 01/17  06:00:00,21.3460255114897,0.0 
 01/17  07:00:00,21.223801228363,0.0 
 01/17  08:00:00,21.1171023190336,0.0 
 01/17  09:00:00,21.0354037389864,1074221040.25773 
 01/17  10:00:00,21.3455191703525,725154802.837521 
 01/17  11:00:00,22.4492580071042,0.0 
 01/17  12:00:00,22.9110923419975,0.0 
 01/17  13:00:00,22.8835828264925,0.0 
 01/17  14:00:00,22.6725071250956,0.0 
 01/17  15:00:00,22.5764289098974,0.0 
 01/17  16:00:00,22.8967351192013,0.0 
 01/17  17:00:00,23.1552188570405,0.0 
 01/17  18:00:00,23.1873471761422,0.0 
 01/17  19:00:00,23.0637695975382,0.0 
 01/17  20:00:00,22.7576350068995,0.0 
 01/17  21:00:00,22.4001601026712,0.0 
 01/17  22:00:00,22.0854178964386,0.0 
 01/17  23:00:00,21.8677261843801,0.0 
 01/17  24:00:00,21.6782971837061,0.0 
 01/18  01:00:00,21.487195596678,0.0 
 01/18  02:00:00,21.3744259040073,0.0 
 01/18  03:00:00,21.2448983231666,0.0 
 01/18  04:00:00,21.1113094026255,0.0 
 01/18  05:00:00,21.9123268630639,0.0 
 01/18  06:00:00,22.5370734406043,0.0 
 01/18  07:00:00,22.7496114704086,0.0 
 01/18  08:00:00,22.8002545942456,0.0 
 01/18  09:00:00,22.7641954421324,0.0 
 01/18  10:00:00,22.8613816268199,0.0 
 01/18  11:00:00,23.0896104026599,0.0 
 01/18  12:00:00,23.3466706226354,0.0 
 01/18  13:00:00,23.4590060002233,0.0 
 01/18  14:00:00,23.3565517925756,0.0 
 01/18  15:00:00,23.2832265871487,0.0 
 01/18  16:00:00,23.4438128391057,0.0 
 01/18  17:00:00,23.5138337725119,0.0 
