# iwNorthAvgTemp,heatEnergy,diffuse solar w/m2,direct solar w/m2,OAH %,OAT C,Mull SWT C,Heat Mode,mullInsulationThickness,intMass,mullSurfaceArea
1.928864348639289972e+01,7.054169362871339999e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.759166666999999507e+01,6.473148147999999935e+00,3.530584640749999892e+01,1.000000000000000000e+00,4.397520004383441775e-03,8.217863931715179433e+02,1.155460598355732449e+00
2.250654077143419940e+01,9.436892270767049951e-01,1.506654055999999855e+02,6.992333442000000332e+02,4.506666666999999649e+01,1.018240740999999971e+01,2.208786151920000052e+01,1.000000000000000000e+00,4.149434484064597889e-03,8.693115801188215528e+02,1.451968266345358138e+00
2.247965951574689925e+01,1.826859747596660100e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.770000000000000284e+01,4.599999999999999645e+00,3.317294548079999572e+01,1.000000000000000000e+00,3.284506374220840050e-03,4.815561261445831747e+02,1.698359376720658176e+00
2.096391359001059840e+01,1.066402064110270054e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.362500000000000000e+01,9.165277778000000097e+00,2.866691419500000038e+01,1.000000000000000000e+00,1.518824699526316862e-03,6.241053441127057795e+02,1.315056341940830986e+00
2.164363577347790013e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.373333332999999357e+01,7.960648147999999757e+00,2.277613358329999826e+01,0.000000000000000000e+00,2.877325430952894919e-03,7.967255098387129237e+02,1.426726091894195747e+00
1.780566915462700095e+01,1.091673779606250072e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.773333332999999357e+01,1.811574074000000145e+00,3.055695113999999890e+01,1.000000000000000000e+00,2.282725696858750597e-03,9.270643952298721615e+02,1.243056781552912327e+00
2.469772316275849988e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.450000000000000000e+01,1.612037036999999984e+01,2.440416373580000098e+01,0.000000000000000000e+00,2.555233820426534939e-03,2.759947394777639147e+02,1.439924293545106648e+00
2.102993955448049945e+01,3.755681282730189707e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.686666667000000075e+01,-3.966203703999999775e+00,4.044482009420000423e+01,1.000000000000000000e+00,1.260321381444684877e-03,2.064861073368287236e+02,1.605995179971976716e+00
2.088528909944039924e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.964166667000000643e+01,1.498379630000000162e+01,2.398795869499999966e+01,0.000000000000000000e+00,1.931176783387614053e-03,6.703850443249529008e+02,1.148345913112651662e+00
1.866123433991790037e+01,7.848641056964120288e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.714999999999999858e+01,5.107870369999999660e+00,2.806073195829999989e+01,1.000000000000000000e+00,2.384548604422874387e-03,2.860302658196702623e+02,1.227580160360512540e+00
2.057325020687229866e+01,1.683513145051970028e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.587500000000000000e+01,2.519444444999999977e+00,3.520142246750000226e+01,1.000000000000000000e+00,1.858222485102242749e-03,6.318264087812308389e+02,1.365274859159375076e+00
2.030367563174310064e+01,2.354014608904559935e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.684166666999999507e+01,-4.987962963000000194e+00,3.336853844419999859e+01,1.000000000000000000e+00,1.780496228207607660e-03,9.374944133014782892e+02,1.556415873671770589e+00
2.211625477291909903e+01,6.371657653601369731e+01,1.102192130000000103e-01,6.486436400000000768e-02,9.409166666999999507e+01,3.870833333999999848e+00,5.766954527579999734e+01,1.000000000000000000e+00,3.946714821206105325e-03,2.962348576541696161e+02,1.601694286083343854e+00
2.191909390753599851e+01,1.868555254739250060e+01,1.671654290000000174e+02,2.038136393999999996e+02,5.630833333000000351e+01,-2.205092593000000267e+00,4.090544745829999584e+01,1.000000000000000000e+00,3.033203619463916735e-03,9.918370032601150115e+02,1.275190540683623475e+00
2.071195904536730126e+01,6.245673486241580008e+01,4.157387511999999674e+00,1.118649396999999990e+00,7.109999999999999432e+01,-5.680555560000000170e-01,6.263164763830000226e+01,1.000000000000000000e+00,3.003691317696725871e-03,3.288956126077335966e+02,1.385702887797740424e+00
2.190650917361280037e+01,1.446752810793489985e+01,1.401893539000000146e+02,2.707717279999999893e-01,9.670000000000000284e+01,1.056759259000000029e+01,3.075638958829999936e+01,1.000000000000000000e+00,2.275409222161871303e-03,4.852525348403206067e+02,1.418336885181039619e+00
2.454476770629349858e+01,7.844442477384549761e+01,1.881279646999999784e+02,7.924777792999999804e+01,5.710000000000000142e+01,-5.386574073999999435e+00,6.218284259170000183e+01,1.000000000000000000e+00,1.260321381444684877e-03,2.064861073368287236e+02,1.605995179971976716e+00
2.357720004485850041e+01,0.000000000000000000e+00,2.111964250999999848e+01,1.325208562000000079e+01,6.775833332999999925e+01,1.960231480999999931e+01,2.049633434169999902e+01,0.000000000000000000e+00,1.567285699228212949e-03,6.015545780611234932e+02,1.446428962894209302e+00
2.324713498495630049e+01,0.000000000000000000e+00,1.398000198000000012e+02,4.823529907999999864e+02,8.585833332999999357e+01,1.481666667000000004e+01,2.282101435250000065e+01,0.000000000000000000e+00,1.376537666660290933e-03,8.962139597157832895e+02,1.399201321489152106e+00
2.279642564199290078e+01,0.000000000000000000e+00,1.113270599000000232e+02,1.964786852000000010e+02,6.651666667000000643e+01,1.818425926000000103e+01,2.478004483420000170e+01,0.000000000000000000e+00,2.667803834544672792e-03,9.008788073576224633e+02,1.494960707296813407e+00
