# # cmbedY,diffuse solar w/m2,direct solar w/m2,OAH %,OAT C,Mull SWT C,Heat Mode,mullInsulationThickness,intMass,mullSurfaceArea,infilRate
2.166801365578309913e+01,2.840815270000000003e-01,1.494244980000000167e-01,8.996666666999999507e+01,3.750462962999999927e+00,5.777087092669999890e+01,1.000000000000000000e+00,3.216982488879388535e-03,9.464084172496154679e+02,1.466285972666017123e+00,1.896432746525341662e-01
4.382021984307640139e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.391666666999999791e+01,-3.111574073999999968e+00,5.485354199079999660e+01,1.000000000000000000e+00,2.150818078431962835e-03,5.371408417390964587e+02,1.318000552832910621e+00,9.787611096860887594e-02
2.219074094448830081e+01,1.637786428000000072e+01,3.900782720000000037e+00,7.930833332999999641e+01,1.322129630000000233e+01,2.605003860669999938e+01,1.000000000000000000e+00,2.687835991545544853e-03,3.931710419040971374e+02,1.405494979021656432e+00,1.052209244538257205e-01
2.110372584956800068e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.673333332999999357e+01,8.406018517999999773e+00,3.428933489920000000e+01,1.000000000000000000e+00,1.917937030133757669e-03,3.736617306079305081e+02,1.588098805324279494e+00,4.188450992176380450e-02
2.325631309626329823e+01,2.157672440999999885e+00,5.632625929999999226e-01,7.318333332999999641e+01,7.687500000000000000e+00,5.036335300919999725e+01,1.000000000000000000e+00,3.251874688195390949e-03,2.703133223301571775e+02,1.240540744171462206e+00,2.734397136972643305e-01
2.211562851691089904e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.805833332999999641e+01,1.535648148000000157e+00,4.791551388749999774e+01,1.000000000000000000e+00,2.277047668954995489e-03,6.936437370357975851e+02,1.208109479524780427e+00,4.032175305522749803e-02
2.042716107884000110e+01,1.972949086999999935e+01,8.528281644999999571e+02,5.493333333000000351e+01,-8.954166667000000857e+00,6.121300453579999612e+01,1.000000000000000000e+00,3.798540430933049217e-03,9.329271578197684676e+02,1.251855506955083186e+00,1.852382751398718441e-01
2.234289106540409975e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.147499999999999432e+01,2.831018518000000039e+00,3.261194231079999639e+01,1.000000000000000000e+00,3.703251172442418703e-03,8.285120264813529047e+02,1.709718062125539895e+00,2.840746736188670130e-01
2.095133261228080102e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.770000000000000284e+01,4.599999999999999645e+00,3.317294548079999572e+01,1.000000000000000000e+00,3.595009554233450505e-03,4.319677408068914133e+02,1.288830253931833036e+00,2.176664342541329011e-01
0.000000000000000000e+00,3.321380565000000047e+02,2.043379281999999932e+02,5.352499999999999858e+01,2.266736111000000164e+01,2.418999010670000160e+01,0.000000000000000000e+00,2.933727912045257149e-03,8.926964500371477698e+02,1.507205344966259464e+00,1.927231982856264514e-02
1.929622968495349866e+01,9.355392232999999891e+00,1.513601283000000031e+01,6.039166666999999933e+01,7.097222222000000080e+00,3.642959390250000240e+01,1.000000000000000000e+00,2.854441280635278133e-03,5.888214708342868562e+02,1.232482830229531645e+00,1.187565487879695542e-01
6.011892542849700050e+01,6.938068239999999776e+01,4.498385100000000247e-01,8.657500000000000284e+01,3.840277777999999920e+00,5.137716388999999850e+01,1.000000000000000000e+00,2.058888128503128315e-03,6.255344928206422992e+02,1.678090893195685052e+00,2.160624888636574481e-01
1.284218589662379895e+00,1.199026850000000053e+02,6.358093870000000036e-01,6.339999999999999858e+01,1.367916667000000075e+01,2.226485545829999779e+01,1.000000000000000000e+00,3.120874168752915331e-03,6.235314881598560532e+02,1.368764898487480064e+00,2.339099693625845966e-01
1.282575898971709982e+01,1.623678469999999834e+02,8.600095061000000385e+01,8.810833332999999357e+01,8.751851851999999710e+00,3.247923041579999648e+01,1.000000000000000000e+00,1.445273400821371276e-03,3.243765174484784666e+02,1.151216625859070586e+00,4.999673364812771970e-02
1.899376349854809831e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.344166667000000359e+01,-3.837499999999999911e+00,3.860311768420000078e+01,1.000000000000000000e+00,3.120874168752915331e-03,6.235314881598560532e+02,1.368764898487480064e+00,2.339099693625845966e-01
2.183574532671890012e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.786666667000000075e+01,1.083379629999999949e+01,2.150223083250000045e+01,1.000000000000000000e+00,2.615663267023798748e-03,9.039064238561555840e+02,1.516247440060730423e+00,2.749208736563168998e-01
1.942215647175660109e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.306666667000000359e+01,2.076851851999999887e+00,3.544349611079999818e+01,1.000000000000000000e+00,3.758873547076145918e-03,9.369524060286159965e+02,1.126425879058989166e+00,1.977695776181008502e-01
1.918609567991810039e+01,1.868992955999999950e+01,1.904764730000000073e-01,8.697499999999999432e+01,6.643518520000000205e-01,4.213371333330000112e+01,1.000000000000000000e+00,4.613051311067204070e-03,8.884108361396774853e+02,1.308371635883027073e+00,2.656314474207473464e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.338333332999999925e+01,1.496759259000000064e+01,2.416369721750000110e+01,0.000000000000000000e+00,2.321121255020723063e-03,2.509342815209327568e+02,1.456164032380497186e+00,2.048688500391779299e-01
1.964663400979339869e+01,1.821672068000000309e+02,3.217166882999999871e+02,7.400000000000000000e+01,-3.148148200000000507e-02,4.108525388920000410e+01,1.000000000000000000e+00,1.543085168328602822e-03,8.693292390766536073e+02,1.218470273526814696e+00,2.430168258823972305e-01
3.418543181846649759e+01,7.339292590000000871e+01,7.027493319000000156e+02,7.250833332999999925e+01,7.006084482000000335e+00,4.872395935000000122e+01,1.000000000000000000e+00,1.824595717907360982e-03,2.051256712808457507e+02,1.249918692553785071e+00,2.298438825507010952e-01
2.024350617298119914e+01,3.712768313000000120e+01,4.257958061000000072e+01,8.306666667000000359e+01,-1.150046296000000012e+01,6.659923597169999709e+01,1.000000000000000000e+00,2.277047668954995489e-03,6.936437370357975851e+02,1.208109479524780427e+00,4.032175305522749803e-02
2.307449106250570026e+01,1.175728089000000125e+02,1.669851574000000127e+01,7.365000000000000568e+01,4.111111110000000290e-01,4.191250291749999946e+01,1.000000000000000000e+00,4.734162343988036932e-03,8.069881999756942150e+02,1.501708986845367022e+00,2.311228875228954760e-01
2.288785643513289969e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.832500000000000284e+01,1.074675925999999926e+01,3.284875577670000268e+01,1.000000000000000000e+00,4.442522397879882651e-03,5.455246244365416715e+02,1.462927672596145090e+00,1.234595199655654091e-01
3.057044198349410102e+00,1.200260202000000049e+02,8.273926153999999542e+02,4.709166667000000217e+01,8.840740740999999403e+00,2.238517447250000103e+01,1.000000000000000000e+00,4.664528008220765465e-03,6.335101299927937362e+02,1.170061507086936237e+00,1.758239827904875888e-02
1.077473304183719982e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.861666667000000075e+01,1.192083333999999972e+01,2.889225834750000033e+01,1.000000000000000000e+00,2.452784613572336989e-03,5.296502641649249199e+02,1.615336974457153962e+00,6.341252844369421604e-02
