# # cmbedY,diffuse solar w/m2,direct solar w/m2,OAH %,OAT C,Mull SWT C,Heat Mode,mullInsulationThickness,mullMetalConductivity,intMass,mullSurfaceArea,elecEquipDensityLow,elecEquipDensityHigh,infilRate
0.000000000000000000e+00,1.398000198000000012e+02,4.823529907999999864e+02,8.585833332999999357e+01,1.481666667000000004e+01,2.282101435250000065e+01,0.000000000000000000e+00,6.359395108509707795e-02,1.366097242262776206e+02,8.540824156759537118e+02,1.189541396225257675e+00,1.639966140340383305e+01,4.269176069978477983e+01,1.184936862829563120e-01
4.753124233763929674e+00,5.539760271000000458e+00,8.886846144000000436e+01,2.194999999999999929e+01,9.304629630000000873e+00,2.235679583329999787e+01,1.000000000000000000e+00,4.807429373704545650e-02,2.121114430251244585e+02,7.589025390485440994e+02,1.333524187459853128e+00,1.730620866619844733e+01,4.777054140360606027e+01,1.411357194421362093e-01
2.152532776567549888e+01,1.329480943000000082e+02,3.940918734999999629e+02,7.445833333000000209e+01,4.802777778000000275e+00,3.429533944420000324e+01,1.000000000000000000e+00,5.155165002850636141e-02,2.844878128139869773e+02,5.148231576453063099e+02,1.413027693408025032e+00,1.597303528637816683e+01,4.400949614685143274e+01,1.401444734901601263e-01
8.730429336138859853e+00,1.787462238000000170e+01,2.965215889999999743e-01,7.575000000000000000e+01,3.097685185000000008e+00,3.799111843000000022e+01,1.000000000000000000e+00,8.873171223151078701e-02,3.529752544585029455e+02,4.022446298411732641e+02,1.583149315409452473e+00,6.057536696357854744e+00,4.054595971709338897e+01,5.113275286796320485e-02
2.255901465348690138e+01,1.585859908999999845e+02,5.355354151000000229e+00,7.164166667000000643e+01,-2.316203703999999863e+00,4.425822643419999736e+01,1.000000000000000000e+00,3.452259376982624167e-02,1.074265988553935074e+02,8.827321167652473832e+02,1.532487869084651955e+00,1.137097178815206178e+01,4.991619854677099966e+01,1.606927774404132148e-02
0.000000000000000000e+00,2.268283859999999947e+02,1.821564219999999921e+02,7.919166667000000359e+01,1.529629626000000009e+01,2.301848007919999972e+01,0.000000000000000000e+00,4.155056753411236897e-02,2.734480743381232628e+02,9.780454742003119009e+02,1.529323213218391153e+00,1.053988763066880097e+01,3.055638365227837383e+01,1.497727977140828337e-01
5.161092470695430201e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.378333332999999783e+01,1.000231482000000049e+01,2.409983235170000171e+01,1.000000000000000000e+00,7.250446671449557734e-02,1.250751227007190920e+02,4.569772465323529218e+02,1.382308827498436754e+00,2.224596392769077724e+01,3.075935547428018779e+01,1.235123725991270627e-01
5.462597002689389747e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.068333333000000351e+01,-4.880092593000000534e+00,3.281338473249999765e+01,1.000000000000000000e+00,1.652661963880957402e-02,1.090673995418653988e+02,3.215028539594069343e+02,1.170964127905911534e+00,1.416179956602730172e+01,3.032341873861089354e+01,1.361681418638970853e-01
4.696763343814230218e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.683333333000000209e+01,9.439814815000000081e+00,2.732911851829999961e+01,1.000000000000000000e+00,6.103398988344126141e-02,6.382848043643858915e+01,7.815435872580336536e+02,1.302825977493021314e+00,1.835051526921823850e+01,4.351121764901549227e+01,9.204146051259415318e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.407500000000000284e+01,1.500000000000000000e+00,2.035934146580000004e+01,0.000000000000000000e+00,5.957226284372214159e-02,2.457829599565227738e+02,2.710743976636790080e+02,1.299036366051530500e+00,7.472306902372327642e+00,4.579232528904136501e+01,4.621232135102339156e-02
