# # cmbedY,diffuse solar w/m2,direct solar w/m2,OAH %,OAT C,Mull SWT C,Heat Mode,mullInsulationThickness,mullMetalConductivity,intMass,mullSurfaceArea,elecEquipDensityAll,infilRate
2.432698092474339902e+01,4.109350016999999866e+01,1.758418488000000082e+02,7.495000000000000284e+01,5.833333332999999676e+00,5.655162833170000170e+01,1.000000000000000000e+00,2.171715927240420573e-03,7.694152143956827672e+01,3.154579747612220331e+02,1.451689076601888839e+00,2.698913225643450176e+01,7.681364176828577028e-02
2.472816389893520039e+01,9.631288465000000087e+01,1.569874141000000023e+01,5.900833332999999925e+01,-3.418518518999999589e+00,4.526221569500000186e+01,1.000000000000000000e+00,4.744696765690371854e-03,2.591213294409304808e+02,7.527371751380846945e+02,1.519599826431419665e+00,2.072033867980364619e+01,2.757823032767212079e-02
2.675314791152040073e+01,1.771444401999999627e+02,1.078399442999999902e+00,6.561666667000000075e+01,1.067222222000000009e+01,2.112020344920000170e+01,0.000000000000000000e+00,2.971933129464202766e-03,3.326870226663504582e+02,2.818632853790961690e+02,1.709027442900409088e+00,3.490476048835823519e+01,1.126588112232057570e-01
1.391738858151800073e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.763333332999999925e+01,3.743055556000000283e+00,2.848695233750000000e+01,1.000000000000000000e+00,1.982970199021753203e-03,3.856450167045089188e+02,5.497033301550590068e+02,1.374461211755275913e+00,3.264986395088166660e+01,2.731011188580416693e-01
2.391069087136110127e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.740833332999999783e+01,1.591111111000000022e+01,2.477014467749999937e+01,0.000000000000000000e+00,4.937953161234731429e-03,1.058649356336598828e+02,9.451875893828423614e+02,1.217848921788699634e+00,2.509385797093330339e+01,1.146491572321186869e-01
2.426281150600109981e+01,4.217488003999999790e+00,5.059697765000000125e+00,7.159166666999999507e+01,3.267592593000000267e+00,4.796266944500000307e+01,1.000000000000000000e+00,4.456154190051481861e-03,3.264506714370371583e+02,5.535090777825314490e+02,1.362816243929690252e+00,2.969912791837981558e+01,3.080655196528001016e-02
2.693713591085899850e+01,1.846940930999999750e+02,1.669357954000000177e+02,6.520000000000000284e+01,1.727777778000000097e+00,3.630068988000000019e+01,1.000000000000000000e+00,1.501789001712654226e-03,2.878826488677949555e+02,2.390259394291458079e+02,1.489186751654542062e+00,4.355537833672846659e+01,1.432479422338020780e-01
2.779398415817059842e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.288333332999999925e+01,6.824074079999999931e-01,4.399197949170000044e+01,1.000000000000000000e+00,2.710260494317996184e-03,3.564322033928339124e+02,3.000132591161612936e+02,1.664373899749695518e+00,3.043729668830946622e+01,1.028484053020957585e-02
7.455890714244870310e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.236666667000000075e+01,-1.086018518000000022e+01,6.449508189920000234e+01,1.000000000000000000e+00,2.860335235174262317e-03,3.405517615698001350e+02,9.861656342130639814e+02,1.481175809880918459e+00,6.979708600613565572e+00,1.835659688397189848e-01
1.891873564011829956e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.792499999999999716e+01,1.205555556000000017e+01,2.190277825080000085e+01,9.166666666999999658e-01,1.134300690718077547e-03,1.786423756743024001e+02,4.252756686624351801e+02,1.414201816702623349e+00,1.043674841355322158e+01,1.847447833518126303e-01
2.200407806949869993e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.245833333000000209e+01,-9.773148149999999479e-01,4.153279611170000152e+01,1.000000000000000000e+00,3.259846180214605229e-03,2.710186684349921507e+02,8.089329919141692926e+02,1.297401785395752016e+00,2.816587241408787534e+01,8.914751908009549419e-02
2.108132700770109835e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.704999999999999716e+01,1.088749999999999929e+01,2.008544670000000210e+01,1.000000000000000000e+00,4.701086069178682034e-03,2.803588240372442897e+02,9.913402346639784355e+02,1.504271357114855823e+00,3.338228580180931715e+01,2.824628096683280409e-01
