# # cmbedY,diffuse solar w/m2,direct solar w/m2,OAH %,OAT C,Mull SWT C,Heat Mode
2.243870878999999974e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.983333333000000209e+01,7.117129629999999985e+00,3.221954723670000220e+01,1.000000000000000000e+00
2.533477430000000297e+01,1.258582705000000033e+02,7.230894184999999652e+02,4.328333332999999783e+01,-5.583333339999999589e-01,4.066790759250000065e+01,1.000000000000000000e+00
4.671962094999999593e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.734166666999999507e+01,-3.787037039999999744e-01,3.011534693920000194e+01,1.000000000000000000e+00
1.672706159000000170e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.052500000000000568e+01,4.231944443999999805e+00,3.177564213499999823e+01,1.000000000000000000e+00
2.241316946999999971e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.209166666999999507e+01,1.205324073999999968e+01,3.071281798080000058e+01,1.000000000000000000e+00
2.126825631000000172e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.487500000000000000e+01,3.168055556000000106e+00,3.738936569500000218e+01,1.000000000000000000e+00
1.905349440999999899e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.735833332999999357e+01,1.483796295999999959e+00,3.042361088499999866e+01,1.000000000000000000e+00
4.004783089000000018e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.726666666999999933e+01,-3.622685184999999919e+00,4.609964735999999874e+01,1.000000000000000000e+00
1.878622812000000053e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.518333332999999641e+01,5.254629629999999496e-01,1.951149214249999986e+01,0.000000000000000000e+00
3.533308525000000344e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.195833333000000209e+01,-1.098472222000000009e+01,4.230394027829999715e+01,1.000000000000000000e+00
1.963645181000000051e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.320833333000000209e+01,-1.163101851999999958e+01,6.145567249999999859e+01,1.000000000000000000e+00
2.597606283000000005e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.370833333000000209e+01,1.682592593000000036e+01,2.445454005999999936e+01,0.000000000000000000e+00
2.949286035000000084e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.763333332999999925e+01,1.492175925999999997e+01,2.321058362500000172e+01,1.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.883333333000000209e+01,1.449305556000000017e+01,2.247412826000000052e+01,0.000000000000000000e+00
2.364695309000000023e+01,1.223222243000000020e+02,7.904099670999999994e+00,7.945833333000000209e+01,1.428981482000000014e+01,2.420875833330000049e+01,8.333333330000000649e-02
7.644523447999999632e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.253333333000000493e+01,-2.468981481999999783e+00,6.038222944329999820e+01,1.000000000000000000e+00
2.233258667999999858e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.254166666999999791e+01,1.172129630000000056e+01,3.081522994499999868e+01,1.000000000000000000e+00
2.065655900999999872e+01,1.582912106999999935e+02,4.113463545000000110e+00,7.576666667000000643e+01,4.708333332999999676e+00,2.687458058329999844e+01,1.000000000000000000e+00
9.501115189000000072e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.508333333000000209e+01,1.092916667000000075e+01,2.764536914500000009e+01,1.000000000000000000e+00
0.000000000000000000e+00,3.321380565000000047e+02,2.043379281999999932e+02,5.352499999999999858e+01,2.266736111000000164e+01,2.418999010670000160e+01,0.000000000000000000e+00
2.126825631000000172e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.487500000000000000e+01,3.168055556000000106e+00,3.738936569500000218e+01,1.000000000000000000e+00
1.897078139999999991e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.128333333000000493e+01,1.840740740999999847e+00,3.048537859249999826e+01,1.000000000000000000e+00
7.407936230999999339e+01,1.102192130000000103e-01,6.486436400000000768e-02,9.409166666999999507e+01,3.870833333999999848e+00,5.766954527579999734e+01,1.000000000000000000e+00
2.485649536000000026e+01,1.383515696999999989e+02,5.849002578999999535e+00,6.991666666999999791e+01,1.982175926000000032e+01,1.704303692999999953e+01,3.333333332999999787e-01
2.199437604999999962e+01,6.101307795999999684e+01,1.899726993000000030e+00,7.063333332999999925e+01,-1.606481480000000184e-01,6.404917092579999860e+01,1.000000000000000000e+00
1.920130769000000015e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.842499999999999716e+01,-7.920833332999999143e+00,3.051325647170000011e+01,1.000000000000000000e+00
1.510852142999999970e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.289166667000000643e+01,8.843055555999999484e+00,3.164388167079999903e+01,1.000000000000000000e+00
2.118433252999999894e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.933333333000000209e+01,-1.305555559999999893e-01,3.480066844080000266e+01,1.000000000000000000e+00
2.068255055999999925e+01,1.300418753000000152e+02,1.027296798999999972e+01,9.015000000000000568e+01,4.370833333000000209e+00,3.662357653669999991e+01,1.000000000000000000e+00
2.681617917000000162e+01,2.177837896999999998e+02,1.438999343000000124e+02,5.238333332999999925e+01,2.325833332999999925e+01,2.504338613420000215e+01,0.000000000000000000e+00
2.699855351000000070e+01,8.597748217000000182e+01,3.847596400000000139e-02,9.688333332999999925e+01,1.061296296000000083e+01,4.489073721329999955e+01,1.000000000000000000e+00
2.139938306999999895e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.650833332999999925e+01,8.064351851999999710e+00,3.364881207500000215e+01,1.000000000000000000e+00
0.000000000000000000e+00,7.520811369999999840e+01,1.964269308000000080e+02,5.608333333000000209e+01,2.024537036999999984e+01,2.465022777829999967e+01,0.000000000000000000e+00
4.820322770000000090e-01,8.035306100000000340e-01,2.637421480000000096e-01,8.572499999999999432e+01,-4.445370371000000098e+00,1.490551952920000112e+01,0.000000000000000000e+00
2.875524907999999868e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.563333332999999925e+01,8.620370370000000060e-01,2.935994355920000132e+01,1.000000000000000000e+00
1.911648114999999848e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.160833333000000067e+01,4.124999999999999778e-01,2.572623723999999967e+01,1.000000000000000000e+00
3.767814237000000333e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.562500000000000000e+01,-7.556018518999999323e+00,4.466099287000000118e+01,1.000000000000000000e+00
1.968438189000000094e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.697499999999999432e+01,-5.824074080000000153e-01,3.155699006000000040e+01,1.000000000000000000e+00
2.226666625000000010e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.599166667000000075e+01,6.776851852000000065e+00,3.172323012170000212e+01,1.000000000000000000e+00
2.213048135000000016e+01,1.759034401999999773e+02,3.329866660000000138e+02,5.962500000000000000e+01,-9.204629629999999452e+00,6.552383356500000389e+01,1.000000000000000000e+00
2.288629442999999952e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.207500000000000284e+01,1.306898147999999971e+01,2.347345478669999963e+01,1.000000000000000000e+00
2.812381921000000062e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.791666666999999791e+01,-1.501388889000000004e+00,3.972125013920000214e+01,1.000000000000000000e+00
2.288617204999999899e+01,4.646700806999999855e+01,3.821754110000000204e-01,9.812500000000000000e+01,7.281944444999999710e+00,3.553719395419999927e+01,1.000000000000000000e+00
1.180591118999999978e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.973333333000000067e+01,9.014814814999999371e+00,2.776947715249999860e+01,1.000000000000000000e+00
2.069766163999999975e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.184166666999999507e+01,-1.054398147999999935e+01,3.996573449169999748e+01,1.000000000000000000e+00
2.496608781000000121e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.886666667000000075e+01,1.521990740999999936e+01,2.433183101670000070e+01,0.000000000000000000e+00
2.802405535000000114e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.409999999999999432e+01,1.137824074000000074e+01,1.975492938920000086e+01,1.000000000000000000e+00
1.814391952000000074e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.362500000000000000e+01,-3.966666666999999702e+00,3.400711713999999830e+01,1.000000000000000000e+00
2.406852862999999942e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.809999999999999432e+01,1.662638889000000120e+01,2.357256374079999972e+01,0.000000000000000000e+00
2.460489789999999743e+01,6.485858021999999323e+01,1.558944710999999756e+02,4.481666666999999649e+01,1.396759259000000064e+01,2.299569462919999907e+01,0.000000000000000000e+00
1.681499064000000132e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.541666666999999791e+01,1.316203704000000085e+00,2.880161786080000041e+01,1.000000000000000000e+00
2.289533283999999824e+01,2.057361176000000000e+02,4.031467400999999739e+01,5.624166667000000075e+01,-3.340740741000000291e+00,4.482964106420000405e+01,1.000000000000000000e+00
2.979602953999999926e+01,1.748815099000000117e+01,1.829826899999999895e-02,9.776666667000000643e+01,1.206435184999999954e+01,2.927013808829999775e+01,4.166666667000000213e-01
3.251123273000000324e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.965833332999999783e+01,-9.851388888999998983e+00,3.924144101920000338e+01,1.000000000000000000e+00
2.257937052999999850e+01,2.435318444000000113e+02,5.090891428000000474e+02,4.423333333000000067e+01,4.818518518999999500e+00,2.647986510579999830e+01,1.000000000000000000e+00
2.279625422999999884e+01,1.821672068000000309e+02,3.217166882999999871e+02,7.400000000000000000e+01,-3.148148200000000507e-02,4.108525388920000410e+01,1.000000000000000000e+00
2.392919977000000031e+01,8.115568582000000220e+01,6.005697423000000157e+01,6.883333333000000209e+01,1.748425926000000175e+01,2.383142895829999830e+01,0.000000000000000000e+00
4.818963666999999873e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.910833332999999357e+01,-1.246250000000000036e+01,5.058428532420000323e+01,1.000000000000000000e+00
2.022235558999999938e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.317499999999999716e+01,-4.225462963000000016e+00,2.268216369829999834e+01,1.000000000000000000e+00
3.469292046000000340e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.474166667000000075e+01,-6.042129629999999807e+00,4.282970375000000018e+01,1.000000000000000000e+00
2.128596552000000131e+01,1.787462238000000170e+01,2.965215889999999743e-01,7.575000000000000000e+01,3.097685185000000008e+00,3.799111843000000022e+01,1.000000000000000000e+00
4.284133633999999802e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.675833332999999925e+01,-1.200925926000000032e+01,4.710392106500000153e+01,1.000000000000000000e+00
2.268025584000000094e+01,7.607772961999999950e+01,1.589883129999999944e+01,8.742499999999999716e+01,5.714814815000000436e+00,3.521902429579999705e+01,1.000000000000000000e+00
2.224873989999999679e+01,2.333925389999999993e+02,1.594434194000000105e+02,7.205833332999999641e+01,-5.615740740000000342e-01,3.842858849830000167e+01,1.000000000000000000e+00
