EST,iw north average temp C,iw heating energy J,,,,
13/01/2017 11:00,22.94179051,72942186.852,,,,
13/01/2017 12:00,22.98624412,28813216.0248,,,,
13/01/2017 13:00,23.10733046,89590741.056,,,,
13/01/2017 14:00,23.17814634,63723770.352,,,,
13/01/2017 15:00,23.22259047,44135508.096,,,,
13/01/2017 16:00,23.01339712,89300204.748,,,,
13/01/2017 17:00,22.79375684,95547491.28,,,,
13/01/2017 18:00,22.53482926,164242700.028,,,,
13/01/2017 19:00,22.68899194,100607996.916,,,,
13/01/2017 20:00,22.60132579,168512225.76,,,,
13/01/2017 21:00,22.68549532,19382551.8732,,,,
13/01/2017 22:00,22.10300243,70011508.14,,,,
13/01/2017 23:00,21.69829896,79823310.48,,,,
14/01/2017 0:00,21.455002,82778601.528,,,,
14/01/2017 1:00,21.27516438,87306578.676,,,,
14/01/2017 2:00,21.09733757,94646786.436,,,,
14/01/2017 3:00,20.92759519,97846033.104,,,,
14/01/2017 4:00,20.80737989,99793608.696,,,,
14/01/2017 5:00,20.73518584,102712503.276,,,,
14/01/2017 6:00,20.6993456,106227491.508,,,,
14/01/2017 7:00,20.71887255,103400459.424,,,,
14/01/2017 8:00,20.73412665,98168787,,,,
14/01/2017 9:00,21.16407686,297185532.984,,,,
14/01/2017 10:00,22.31949718,219732068.088,,,,
14/01/2017 11:00,23.010198,61778922.948,,,,
14/01/2017 12:00,22.85911621,89999821.764,,,,
14/01/2017 13:00,22.80939937,89465026.32,,,,
14/01/2017 14:00,22.80298385,85171072.248,,,,
14/01/2017 15:00,22.72921854,88325803.368,,,,
14/01/2017 16:00,22.74439051,126441795.492,,,,
14/01/2017 17:00,22.80748226,92365661.772,,,,
14/01/2017 18:00,22.69877435,154952592.876,,,,
14/01/2017 19:00,22.82548126,72236012.796,,,,
14/01/2017 20:00,22.51091312,37274804.388,,,,
14/01/2017 21:00,22.13231003,65235022.128,,,,
14/01/2017 22:00,21.85654285,72674786.916,,,,
14/01/2017 23:00,21.65719355,75405530.808,,,,
15/01/2017 0:00,21.491446,80396637.264,,,,
15/01/2017 1:00,21.37731313,82339617.672,,,,
15/01/2017 2:00,21.2794368,86016257.424,,,,
15/01/2017 3:00,21.13625582,91409713.236,,,,
15/01/2017 4:00,20.99038504,94716659.772,,,,
15/01/2017 5:00,20.84855873,98829835.524,,,,
15/01/2017 6:00,20.72453167,106416304.74,,,,
15/01/2017 7:00,20.62600995,104330724.588,,,,
15/01/2017 8:00,20.56718312,104879186.568,,,,
15/01/2017 9:00,20.91994249,277298226.468,,,,
15/01/2017 10:00,22.28596906,214646316.156,,,,
15/01/2017 11:00,23.3277396,21374805.9168,,,,
15/01/2017 12:00,23.2691229,60941871.072,,,,
15/01/2017 13:00,23.29726976,72427022.496,,,,
15/01/2017 14:00,23.28825588,75825661.5,,,,
15/01/2017 15:00,23.26306401,71789570.784,,,,
15/01/2017 16:00,23.15623675,82441890.144,,,,
15/01/2017 17:00,23.01869884,86215560.984,,,,
15/01/2017 18:00,22.80673176,94758976.08,,,,
15/01/2017 19:00,22.6411305,98648875.116,,,,
15/01/2017 20:00,22.4055355,36709933.464,,,,
15/01/2017 21:00,21.95930977,71493887.556,,,,
15/01/2017 22:00,21.67459529,80851699.116,,,,
15/01/2017 23:00,21.43715056,83390874.48,,,,
16/01/2017 0:00,21.23254652,93260384.352,,,,
16/01/2017 1:00,21.10833889,91781411.04,,,,
16/01/2017 2:00,21.02824234,93477967.956,,,,
16/01/2017 3:00,20.96255423,95656694.004,,,,
16/01/2017 4:00,20.86992165,99132629.724,,,,
16/01/2017 5:00,20.77025459,102092435.352,,,,
16/01/2017 6:00,20.67522075,104684518.368,,,,
16/01/2017 7:00,20.61238494,106669286.46,,,,
16/01/2017 8:00,20.93941395,275202844.128,,,,
16/01/2017 9:00,22.06271529,236661934.284,,,,
16/01/2017 10:00,22.99628036,98954130.024,,,,
16/01/2017 11:00,23.04479675,100627551.072,,,,
16/01/2017 12:00,23.04334657,85271197.068,,,,
16/01/2017 13:00,23.08774473,76811764.212,,,,
16/01/2017 14:00,23.02011489,74167223.184,,,,
16/01/2017 15:00,22.98483625,73897083.936,,,,
16/01/2017 16:00,22.88143562,79989195.456,,,,
16/01/2017 17:00,22.68629726,152529032.916,,,,
16/01/2017 18:00,22.8592697,52874730.54,,,,
16/01/2017 19:00,22.71611518,106754233.464,,,,
16/01/2017 20:00,22.75899819,67571881.128,,,,
16/01/2017 21:00,22.58527718,33610736.0808,,,,
16/01/2017 22:00,22.31381809,61557666.336,,,,
16/01/2017 23:00,22.12985094,64102326.912,,,,
17/01/2017 0:00,21.99934757,66279850.812,,,,
17/01/2017 1:00,21.91464584,67316298.264,,,,
17/01/2017 2:00,21.89439877,66672952.812,,,,
17/01/2017 3:00,21.93698518,66858021.864,,,,
17/01/2017 4:00,21.78204419,71335346.292,,,,
17/01/2017 5:00,21.68599655,75197938.428,,,,
17/01/2017 6:00,21.65446003,71376641.46,,,,
17/01/2017 7:00,21.66560724,75092377.608,,,,
17/01/2017 8:00,21.98067816,235211584.428,,,,
17/01/2017 9:00,22.97426148,75310231.464,,,,
17/01/2017 10:00,23.20966567,34549729.3872,,,,
17/01/2017 11:00,23.33647566,32819887.782,,,,
17/01/2017 12:00,23.48408691,4809429.4608,,,,
17/01/2017 13:00,23.46563226,0,,,,
17/01/2017 14:00,23.47063787,0,,,,
17/01/2017 15:00,23.80399306,0,,,,
17/01/2017 16:00,23.91110797,0,,,,
17/01/2017 17:00,23.76993564,0,,,,
17/01/2017 18:00,23.39688761,0,,,,
17/01/2017 19:00,23.1465679,0,,,,
17/01/2017 20:00,22.89381922,0,,,,
17/01/2017 21:00,22.67011154,0,,,,
17/01/2017 22:00,22.43009641,0,,,,
17/01/2017 23:00,22.27314008,48416216.328,,,,
18/01/2017 0:00,22.33258668,45927528.516,,,,
18/01/2017 1:00,22.32113066,50437290.636,,,,
18/01/2017 2:00,22.28279527,47283592.428,,,,
18/01/2017 3:00,22.29689689,50183400.42,,,,
18/01/2017 4:00,22.23536409,51828553.368,,,,
18/01/2017 5:00,22.12961269,51539046.84,,,,
18/01/2017 6:00,22.10084424,57222741.744,,,,
18/01/2017 7:00,21.94781105,61695069.156,,,,
18/01/2017 8:00,22.20868268,236931109.092,,,,
18/01/2017 9:00,22.82082353,33750928.332,,,,
18/01/2017 10:00,22.68025584,69142833.54,,,,
18/01/2017 11:00,22.67972838,69858966.6,,,,
18/01/2017 12:00,22.74565086,70449357.888,,,,
18/01/2017 13:00,22.69981404,76870521.108,,,,
18/01/2017 14:00,22.64600906,78496535.628,,,,
18/01/2017 15:00,22.5895965,77467079.088,,,,
18/01/2017 16:00,22.59657772,79500895.704,,,,
18/01/2017 17:00,22.64571818,76159611.828,,,,
18/01/2017 18:00,22.56881736,80963560.224,,,,
18/01/2017 19:00,22.52940437,81212071.68,,,,
18/01/2017 20:00,22.56160642,155848258.152,,,,
18/01/2017 21:00,22.87532722,17837795.6136,,,,
18/01/2017 22:00,22.53253332,45116577.288,,,,
18/01/2017 23:00,22.21144245,60217421.724,,,,
19/01/2017 0:00,21.99813299,66947850.828,,,,
19/01/2017 1:00,21.85443269,70580996.136,,,,
