# # iw north average temp C,diffuse solar w/m2,direct solar w/m2,OAH %,OAT C,Mull SWT C,Heat Mode
2.435822564000000057e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.043333332999999641e+01,1.483842592999999965e+01,2.461246897670000067e+01,0.000000000000000000e+00
2.156433089999999808e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.306666667000000359e+01,2.076851851999999887e+00,3.544349611079999818e+01,1.000000000000000000e+00
2.170610750999999894e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.921666666999999507e+01,-4.113888889000000049e+00,3.199925043500000044e+01,1.000000000000000000e+00
1.930699359000000115e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.713333332999999925e+01,-1.196342592999999965e+01,4.737915310079999642e+01,1.000000000000000000e+00
2.331922617000000031e+01,1.398000198000000012e+02,4.823529907999999864e+02,8.585833332999999357e+01,1.481666667000000004e+01,2.282101435250000065e+01,0.000000000000000000e+00
2.256692886000000087e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.759999999999999432e+01,1.047731482000000014e+01,2.969335814749999969e+01,1.000000000000000000e+00
2.106442139999999696e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.820000000000000284e+01,-1.107407406999999955e+00,3.833970837919999752e+01,1.000000000000000000e+00
2.098101009000000161e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.151666666999999933e+01,6.812962962999999483e+00,2.719046416579999814e+01,1.000000000000000000e+00
2.174346170999999828e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.570833333000000209e+01,3.228240741000000025e+00,3.461116544920000138e+01,1.000000000000000000e+00
2.422224526999999838e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.611666667000000075e+01,1.722083333999999866e+01,2.306765304250000170e+01,0.000000000000000000e+00
1.947139927999999998e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.479166666999999791e+01,-1.168379630000000091e+01,4.647477675830000265e+01,1.000000000000000000e+00
