# # iwNorthAvgTemp,diffuse solar w/m2,direct solar w/m2,OAH %,OAT C,Mull SWT C,Heat Mode,elecEquipDensityHigh,elecEquipDensityLow,mullMetalConductivity,intMass,infilRate
2.064739352426440178e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.315000000000000568e+01,-7.273148147999999757e+00,4.234272588000000326e+01,1.000000000000000000e+00,2.739207147612534499e+01,1.455136064628404924e+01,2.498255348563605480e+02,9.361700575474451398e+02,2.458871191962203329e-01
2.471959288485989958e+01,1.254072388999999959e+02,5.317300911000000241e+00,8.379166666999999791e+01,5.243518518999999323e+00,3.482529022170000133e+01,1.000000000000000000e+00,3.575138230502594894e+01,1.638854751569255086e+01,3.964804000054493827e+02,2.545038141604659927e+02,2.447403112584616014e-01
2.079238842196529902e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.900000000000000000e+01,-8.316203703999999419e+00,4.559065259169999962e+01,1.000000000000000000e+00,3.100391141824155028e+01,1.446825605748361809e+01,1.910119734446246298e+02,7.932278573378034707e+02,2.232227096911964803e-01
2.439055502865679870e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.288333332999999925e+01,1.375092592000000025e+01,2.465391227670000163e+01,0.000000000000000000e+00,2.359978558792099790e+01,1.692621386423130048e+01,7.631957917818283477e+01,8.338747774675217670e+02,8.202908260341558455e-02
2.172990841972729825e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.233333333000000209e+01,1.308657406999999928e+01,2.612377384670000069e+01,1.000000000000000000e+00,3.023376759914567913e+01,6.255802372497146102e+00,2.572621523705142863e+02,6.912967391946071984e+02,1.732026416449388706e-01
2.116609952819360174e+01,8.500066466999999903e+00,1.893318053000000134e+02,7.718333332999999641e+01,-8.788425926000000388e+00,5.924234518579999786e+01,1.000000000000000000e+00,2.367117557820689910e+01,1.137184077326027420e+01,1.347687212687288252e+02,8.892792405352670357e+02,2.293262484922066122e-02
2.172856591537589921e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.104166666999999791e+01,1.080787036999999984e+01,3.090927404580000015e+01,1.000000000000000000e+00,3.169949210460168842e+01,1.200097935498416390e+01,2.082647358181562254e+02,4.037221142357708459e+02,2.960781050392028990e-01
2.189508620239960024e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.740833333000000493e+01,2.808333333000000209e+00,3.665906253669999870e+01,1.000000000000000000e+00,4.053263832095296948e+01,1.171811020247096380e+01,3.230655203892723648e+02,6.510351208897118340e+02,2.367467188360327657e-01
2.472341402358599893e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.139166667000000643e+01,5.371759259000000064e+00,3.117653208750000005e+01,1.000000000000000000e+00,4.828389129762952336e+01,1.734413590986809339e+01,3.078911293670519171e+02,2.497366136920656743e+02,1.412621392258801289e-01
2.195065209994239908e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.773333333000000067e+01,5.931481481000000500e+00,1.931196995750000056e+01,1.000000000000000000e+00,3.096061855247140215e+01,1.766660029476691918e+01,1.873364130681344477e+02,3.909773829907948652e+02,2.512745426562327244e-01
2.046664515516309990e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.894166667000000359e+01,-8.237500000000000711e+00,3.689557341670000312e+01,1.000000000000000000e+00,4.560259688201992390e+01,1.969164247987468030e+01,2.552501508862105482e+02,7.232980935462296657e+02,1.796760084987148454e-01
2.622618223326189835e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.945000000000000284e+01,1.738657407000000177e+01,2.381128219580000049e+01,0.000000000000000000e+00,2.108454840190185209e+01,1.792692657397254408e+01,3.061992364301128191e+02,5.000811007177716192e+02,5.814597549959484024e-02
2.293203567445339885e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.689999999999999858e+01,2.954166666999999968e+00,2.988046389830000038e+01,1.000000000000000000e+00,2.948809906985647444e+01,7.136901992899578495e+00,2.898498150105148170e+02,8.922784682754044070e+02,1.207768764915150977e-01
